الاجمالي,الرصيد,الايراد,المصروف,التاريخ,ملاحظات,ID
,169421,,,"12/31/23 00:00:00","رصيد سابق ",1
94304,-17000,,17000,"01/01/24 00:00:00","تحت حساب العيادة شهر12",3
94234,830,830,,"01/01/24 00:00:00","طنطا",5
93234,-1000,,1000,"01/01/24 00:00:00","عم سعيدالبواب",6
93114,-120,,120,"01/01/24 00:00:00","اوفو120",7
92844,-270,,270,"01/01/24 00:00:00","اسدال للبنات في الشروق",8
109079,16235,16235,,"01/02/24 00:00:00","طنطا",9
84879,-24200,,24200,"01/02/24 00:00:00","ايجار بطرس",10
84059,-320,,320,"01/02/24 00:00:00","كوبايات كرتونة",12
83539,-520,,520,"01/03/24 00:00:00","ورق 4 باكو*130 70 جرام",13
83419,-60,,60,"01/02/24 00:00:00","اوفو180",15
88749,5330,5330,,"01/03/24 00:00:00","طنطا",16
88739,-10,,10,"01/03/24 00:00:00","قص ورق",17
71239,-17500,,17500,"01/04/24 00:00:00","ايجار الشروق",18
70914,-325,,325,"01/04/24 00:00:00","فودافون",19
63744,-7000,,7000,"01/04/24 00:00:00","د السعدني",21
64240,496,550,54,"01/04/24 00:00:00","2ك سكر",22
62155,-2085,,2085,"01/06/24 00:00:00","جونتي معقم3*620+اوفر هيد واوفر شوز 2و4",23
68110,5955,5955,,"01/06/24 00:00:00","طنطا",24
88732,-95,,95,"01/07/24 00:00:00","شاي اخضر+معطرات",27
88672,-60,,60,"01/07/24 00:00:00","شعاع120",28
88652,-20,,20,"01/07/24 00:00:00","انتقالات",29
89722,1070,1070,,"01/08/24 00:00:00","طنطا",30
89592,-90,,90,"01/08/24 00:00:00","صيانة فلتر",32
86407,-3185,,3185,"01/09/24 00:00:00","روشتات 52*61.25",33
97257,10850,10850,,"01/09/24 00:00:00","طنطا",34
97037,-120,,120,"01/09/24 00:00:00","اوفو300",36
68402,-28635,,28635,"01/09/24 00:00:00","من حساب النسبة",37
75077,6675,6675,,"01/10/24 00:00:00","طنطا",38
73727,-1350,,1350,"01/10/24 00:00:00","د نمير شهر11+12",39
58477,-15250,,15250,"01/10/24 00:00:00","تأمينات",40
58417,-60,,60,"01/10/24 00:00:00","شاي",41
57616,-701,,701,"01/10/24 00:00:00","اضافي صافي",43
